report_num,significant,long,lat
20120128,0,-96.45806,30.8568
20120129,1,-102.920159,32.862785
20120130,0,-102.02737,32.01426
20120131,0,-95.41222,47.68889
20120132,1,-92.04994,39.72708
20120133,0,-88.041942,41.658008
20120134,0,-102.82027,33.03138
20120135,0,-102.82777,33.03138
20120136,1,-74.25384,40.52243
20120139,0,-98.09101,35.34866
20120141,1,-96.758858,35.953247
20120142,1,-122.133742,38.066978
20120143,0,-94.3989,30.1408
20120144,0,-118.23844,33.80197
20120145,0,-90.861846,30.010536
20120146,0,-91.187577,30.492551
20120148,0,-96.74755,35.9382
20120149,0,-147.09653571,70.15120454
20120150,0,-93.19544,45.05919
20120151,0,-95.35065556,29.06023333
20120152,0,-88.340732,40.647936
20120153,0,-119.19115,35.04474
20120154,0,-96.90047,37.78977
20120155,0,-95.67591,29.145153
20120156,0,-97.51745,27.83125
20120157,0,-87.433952,41.62672
20120158,0,-93.5745,29.52107
20120159,1,-74.125619,40.352903
20120160,0,-97.948581,34.244372
20120161,0,-74.239999,40.608511
20120162,1,-120.444417,34.972892
20120163,0,-95.308771,29.419652
20120164,0,-84.69089,39.03543
20120165,1,-97.593745,32.40169
20120166,1,-91.457458,30.554483
20120167,0,-97.6930556,35.7688889
20120168,0,-88.204914,30.793919
20120169,0,-90.4013,30.0064
20120170,0,-91.32391233,38.35257318
20120171,0,-97.085468,37.579665
20120172,1,-100.24465,34.32044
20120173,0,-95.17964,29.71871
20120174,0,-108.49913,44.81602
20120175,1,-92.38284,39.5894
20120176,1,-84.132645,40.711686
20120177,0,-74.222514,40.588225
20120178,0,-96.91755,37.8048
20120179,0,-103.132559,31.790487
20120180,0,-101.40486,32.26812
20120181,1,-96.74162,35.92536
20120183,0,-91.83585,40.40966
20120184,0,-96.4767,32.0729
20120185,1,-103.295787,46.902916
20120186,0,-119.704,35.4672
20120187,0,-96.00824525,35.97916323
20120188,1,-87.97975,41.395652
20120189,0,-94.11098,43.93146
20120190,1,-74.125619,40.352903
20120191,0,-83.41999,33.99271
20120192,0,-102.438656,31.43275
20120193,0,-97.379338,35.737564
20120194,0,-96.754603,35.943731
20120195,0,-92.05972,46.68889
20120196,1,-102.07528,31.68154
20120197,0,-90.854975,30.008992
20120198,1,-95.129993,29.747769
20120199,1,-98.651289,33.795549
20120200,1,-95.243912,37.93455
20120201,1,-81.211906,41.286642
20120202,1,-96.72309,37.7958
20120203,0,-116.021774,35.276957
20120204,0,-103.13161,31.7918
20120205,0,-95.431631,28.949672
20120206,0,-95.432542,28.950953
20120207,0,-118.14477,34.00551
20120208,0,-96.861139,29.952222
20120209,0,-95.674314,29.145494
20120210,1,-97.147138,37.721901
20120211,0,-91.05218,32.87718
20120212,0,-102.23929,33.17535
20120213,0,-102.46611,39.08605
20120214,0,-97.3761111,34.1897222
20120215,1,-75.532567,40.514382
20120216,0,-94.8373,32.4813
20120217,1,-99.13711,34.84251
20120218,1,-96.51428,37.80389
20120219,0,-81.668922,41.435852
20120220,1,-98.792389,33.247889
20120221,0,-92.67267003,37.75877757
20120222,1,-94.076706,29.997663
20120223,0,-96.978674,28.809202
20120224,1,-122.129423,38.025394
20120225,0,-96.4767,32.0729
20120226,0,-96.27369,30.79796
20120227,0,-95.15331796,29.81987246
20120228,0,-96.28436,30.80147
20120229,0,-103.59627,33.05365
20120230,0,-96.75655,35.95885
20120231,1,-102.950633,32.779328
20120232,1,-75.53238,40.513554
20120233,1,-98.58163,38.09496
20120234,1,-93.0463,30.1571
20120235,0,-90.87166,30.90944
20120236,0,-74.19254,40.6246
20120237,1,-90.853719,30.15683
20120238,1,-88.130513,43.297089
20120239,0,-107.9802778,41.6872222
20120240,1,-94.0054,29.8964
20120241,0,-97.37093,37.81841
20120242,1,-74.25384,40.52243
20120243,0,-93.5739,29.51419
20120244,0,-95.14887905,46.81973992
20120245,1,-95.31151,28.9598
20120246,0,-94.05633,29.97504
20120247,0,-77.399801,38.834923
20120248,1,-89.638236,43.895611
20120249,1,-102.98994,31.19309
20120250,0,-94.4076,30.1457
20120251,0,-92.03609,46.41428
20120252,0,-96.7380556,35.9361111
20120253,0,-88.04631,32.78111
20120254,0,-89.63841,37.070361
20120255,0,-94.60709,39.12889
20120256,0,-84.62949,33.85596
20120257,0,-95.1101,29.3786
20120258,0,-90.1919,29.1049
20120259,0,-97.198572,27.826919
20120260,1,-88.495556,39.060075
20120261,0,-97.432256,36.17115
20120262,0,-94.43055,30.16414
20120263,1,-94.008985,29.911491
20120264,0,-103.1375,32.655
20120265,1,-94.24222,29.955034
20120266,0,-116.98,44.069
20120267,0,-94.50289,32.28877
20120268,0,-75.25948,39.8955
20120269,0,-96.813234,37.495186
20120270,1,-94.982056,29.764311
20120271,0,-106.4083333,43.8516667
20120272,1,-82.1983333,27.8608333
20120273,1,-90.087322,38.851604
20120274,0,-106.4083333,43.8516667
20120275,1,-87.82598113,41.68140797
20120276,0,-94.05681,29.97583
20120277,0,-119.064098,35.059321
20120278,1,-93.90276,42.94222
20120279,1,-94.60402,42.72143
20120280,0,-74.2498,40.57704
20120281,1,-89.4441666,29.485
20120282,0,-83.141045,42.282925
20120283,0,-110.061642,46.49535
20120284,1,-101.2216288,32.1057904
20120285,0,-99.1263,37.6159
20120286,1,-102.02951,32.01493
20120287,0,-119.3388889,35.1544444
20120288,0,-90.9009944,30.1150416
20120289,0,-74.221761,40.608277
