report_number,significant,location_latitude,location_longitude
20110187,true,32.77597,-102.95923
20110188,false,33.4614,-118.12135
20110189,true,27.959521,-97.360576
20110191,true,35.22377,-96.44739
20110192,false,40.52243,-74.25384
20110196,false,41.684292,-90.4901
20110197,false,42.07471,-96.17223
20110201,false,42.272024,-83.164865
20110206,true,35.93964,-96.748064
20110208,true,39.71864,-95.135
20110209,false,38.08131,-97.85245
20110210,true,33.307077,-97.847271
20110212,false,34.751139,-84.780139
20110216,false,32.02879,-89.10231
20110217,true,30.77929,-96.06167
20110218,false,29.4388,-96.804483
20110219,true,41.4145,-87.7665
20110220,true,27.943,-90.998
20110223,false,33.7966,-118.2347
20110225,false,34.16078,-97.53915
20110230,false,29.726944,-95.203333
20110234,true,33.6938,-118.0064056
20110236,true,43.286542,-95.260549
20110237,false,29.781516,-90.523835
20110238,false,40.4101,-78.4385
20110241,false,32.004805,-102.005505
20110242,true,40.70825,-84.12206
20110243,true,32.777568,-102.950783
20110244,false,30.452391,-93.464003
20110245,false,32.5327,-100.8309
20110246,true,34.27734,-96.52176
20110247,false,35.953482,-96.759374
20110248,false,33.4604,-118.12035
20110249,false,40.59213,-74.21207
20110250,true,31.79133,-103.1334
20110251,true,40.74573,-95.91459
20110253,true,30.042343,-96.914558
20110255,false,33.936514,-98.496967
20110257,false,44.37956,-98.462467
20110258,false,32.9491,-93.1679
20110259,true,30.87167,-94.02683
20110262,true,45.655486,-108.75724
20110266,true,32.540604,-95.701173
20110268,false,29.238862,-89.384553
20110270,false,29.7182,-95.1278
20110272,true,38.28588,-95.00712
20110274,false,35.95885,-96.75655
20110275,false,35.87218,-98.38255
20110276,false,35.6376,-97.70893
20110279,false,29.878953,-94.271735
20110283,false,29.43573,-95.121835
20110286,false,30.11472,-94.64583
20110289,true,31.7767,-98.39635
20110292,false,42.053138,-96.043891
20110293,true,33.179721,-96.302081
20110295,true,27.72222,-97.76397
20110296,false,35.94607,-96.74874
20110298,false,31.1611,-94.6751
20110299,false,36.029589,-97.747511
20110300,true,37.78947,-96.90093
20110302,false,39.03543,-84.69089
20110303,true,27.97348,-82.32001
20110304,true,31.13193,-102.1906
20110305,false,34.83433167,-120.45062247
20110309,false,27.91036,-97.40839
20110310,false,33.91765556,-117.9154528
20110312,false,33.86357,-97.95564
20110314,false,30.5471,-91.1703
20110315,true,37.05253,-95.61166
20110317,true,32.02821,-89.10162
20110319,true,33.846624,-118.252704
20110321,false,35.296047,-119.160719
20110322,false,40.550801,-97.595518
20110323,true,33.83799,-98.27639
20110324,true,33.81583,-118.29701
20110325,false,39.120239,-120.943522
20110328,false,41.27461,-88.12713
20110329,true,41.645101,-88.027889
20110330,false,36.33746,-97.51306
20110331,true,33.83299,-98.27806
20110332,false,38.0934,-98.58173
20110333,false,28.804167,-96.793611
20110334,false,28.804167,-96.793611
20110335,true,42.00461,-96.23684
20110337,false,29.206868,-94.561023
20110339,false,46.68889,-92.05972
20110341,true,39.61412,-89.34578
20110344,false,40.6945,-84.1265
20110347,false,40.596305,-91.411283
20110349,false,29.887222,-95.374444
20110351,false,40.111093,-88.319562
20110352,false,35.684911,-101.359211
20110353,true,37.944408,-121.558461
20110355,true,36.9006,-100.39243
20110356,false,41.55804,-93.52571
20110358,true,29.084431,-95.403144
20110359,false,35.43959,-118.99174
20110361,false,32.06704,-96.4719
20110362,false,32.1147,-94.9633
20110363,true,37.795178,-121.672381
20110365,false,37.0525,-95.61183
20110366,false,43.54571,-96.79188
20110368,false,40.590422,-74.219078
20110369,false,32.01798,-102.026495
20110370,true,29.26536,-88.77223
20110371,true,32.303575,-102.548583
20110372,true,29.72703,-95.1737
20110374,true,30.034033,-96.435533
20110375,false,38.1019,-98.856419
20110376,false,37.355914,-98.206945
20110377,false,40.590142,-74.215472
20110378,false,29.70989,-90.25945
20110379,false,33.4166975,-98.74844135
20110380,true,32.251168,-101.305851
20110381,true,29.878864,-93.986341
20110382,false,38.38052,-97.83095
20110383,true,29.43573,-95.121835
20110384,true,34.133131,-98.262922
20110385,false,39.363277,-97.479365
20110386,true,31.362222,-101.7825
20110387,false,48.81835,-122.55443
20110388,true,43.860695,-108.163483
20110389,false,35.93198,-96.75406
20110390,true,42.957763,-76.527127
20110391,true,42.959503,-76.665351
20110392,false,33.756403,-118.205749
20110393,true,48.325724,-101.752889
20110394,true,32.55991,-94.08086
20110395,false,31.820486,-106.210326
20110396,false,36.8053,-101.2876
20110397,true,46.68889,-92.05972
20110398,false,44.665449,-106.902904
20110399,false,43.475465,-96.726088
20110401,true,39.862222,-75.419055
20110403,false,41.5569,-87.8886
20110404,true,29.193445,-96.984823
20110405,false,36.13715,-96.02014
20110406,false,30.14105,-94.39892
20110407,false,29.86809,-93.95744
20110408,true,38.78564,-89.08396
20110409,false,33.84735,-118.31848
20110410,true,35.7042,-97.4636
20110411,false,34.55261,-82.48781
20110412,true,38.98759,-95.32997
20110413,false,35.952194,-96.759486
20110414,false,36.13158,-96.0317
20110415,false,34.63366,-97.1581
20110416,false,41.93805,-87.89138
20110417,false,32.4819,-94.8351
20110418,false,31.12252,-97.19946
20110419,true,41.5078,-87.45333
